Question_ID,Serial_Number,Stem,Tags
2022_BS_Q01,1,Trace the course of facial nerve and write brief notes on the applied anatomical aspects of each part.,Anatomy;Neuro;Describe
2022_BS_Q02,2,Explain the applied physiology of thyroid hormone synthesis in detail.,Physiology;Endocrine;Explain
2022_BS_Q03,3,Calcium metabolism,Physiology;Endocrine;Calcium;Describe
2022_BS_Q04,4,SGLT2 inhibitors,Pharmacology;Endocrine;Describe
2022_BS_Q05,5,Life cycle of Falciparum malaria,Microbiology;InfectiousDiseases;Parasite;Describe
2022_BS_Q06,6,Role of bone marrow studies in the evaluation of anemia,Hematology;Diagnostics;BoneMarrow;Describe
2022_BS_Q07,7,Medical nutritional therapy for kidney disorders,Nutrition;Renal;Management;Describe
2022_BS_Q08,8,Cachexia,Oncology;Nutrition;Cachexia;Describe
2022_BS_Q09,9,Periodic paralysis,Neuro;Electrolytes;Pathophysiology;Describe
2022_BS_Q10,10,Drug induced dyselectrolytemia,Pharmacology;Electrolytes;SideEffects;Describe